GAPD,GAPD_dhap,GAPD_fdp,GAPD_g3p,GAPD_dhap_g3p,GAPD_fdp_g3p
0.004373762734115478,0.10297290913175128,0.237819267241172,0.5010026084744669,0.1538309412075023,5.112109921256956e-7
0.004379534950737471,0.10311757761794427,0.031600049967480955,0.00020381977987122635,0.35993565214121054,0.5007633655427556
0.0043692844653817195,0.10285922236150141,0.18989712829712935,0.5005913459363959,0.20228301677974833,2.1598432362128915e-9
0.0046319878380016305,0.002060021189165313,0.44000071170382954,0.24616244012486094,4.304469294525606e-7,0.30714440869721316
0.018156598247814067,0.42715979202232723,0.04976242154885034,0.013721412530311713,0.31374618816942357,0.17745358748127316
0.04272460954023973,0.060475958625942995,0.39803819068018353,0.019604081862135823,0.000013121161849635482,0.4791440381296483
0.00016086461068885553,0.0037405363460209155,0.012645390868336845,0.015877406993194582,0.9672162776782915,0.0003595235034672923
0.0008307327389288255,0.00007751669485248312,1.4898072484632081e-8,0.09057717595158464,0.9085145597164173,1.4432504294685462e-13
0.13126846929603603,0.8574939244800799,0.00007391521419115541,8.583246147289808e-18,0.011163691008713405,9.796025008033879e-13
0.003098400197846365,0.05333453854702373,0.16708783775747896,9.545901734168522e-11,0.04259021664215392,0.733889006760038
0.004951082845544776,0.00002812272043704907,0.07547209018634937,0.5584800829875896,0.36106423710153623,4.384158543018376e-6
0.0037651011876135665,2.2308134439651012e-8,0.10808670516227795,0.001416855813483099,0.10487985498963874,0.7818514605388523
0.0034859415231316576,0.014696783816301922,0.08242997759023903,4.51985717946681e-8,0.08200010949838896,0.8173871423733666
0.008841849517609648,1.2210870302077706e-6,0.00024890309015356996,2.3905297685356778e-11,0.39038510838612356,0.6005229178951776
0.01943957521001545,0.00007290302835944385,0.6381299886496641,0.2738560894041888,0.06850143519648942,8.511282707006385e-9