k^r_PGMi1,k^f_PGMi1,k^r_PGMi2,k^f_PGMi2,k^r_PGMi3,k^f_PGMi3
2726.909559319463,1.277481590583235e7,2.264438544615182e8,21518.241052190977,10.215935020978588,22.507130532436747
1208.9922047829982,5.726311317284221e6,8.618281877465383e8,82309.25794576979,10.369095004711152,22.481925309165025
16.735149586272506,182330.40802049008,1.9964351227125716e8,47632.170642753874,59.663877935724564,22.511725051625408
38345.421240633055,1.780073580848406e8,9.393269473565502e7,8889.536255859137,10.103394957705998,22.555519110273448
10.097133864449994,151491.19708751386,9.575018074560378e8,3.9184574477042353e8,140737.2377932606,22.48102964824947
403615.87795509875,9.534517735033224e8,588621.5376899625,45.66033331039203,10.09640108462331,54.038819869062536
2.6081615949086947e6,9.889027627622191e8,364885.04589212703,24.467259305593448,10.09634409065469,389.4828851997975
217612.4779767906,9.838127937836545e8,8.541303686220972e6,798.9653731553019,10.09635091548176,23.415559965064315
17.236499184230645,184682.42096240123,5.293547031833576e8,120989.97159574772,56.149976420393095,22.48756518911438
119155.5529376896,5.526776369415653e8,7.957175276895642e7,7527.478195226829,10.097563717746269,22.570479768024263
211697.8641878103,9.841521821941634e8,3.7417084562761045e8,35432.4872467209,10.096349908623615,22.493619607637637
393126.35242260434,7.436637360026199e8,506419.4767225095,37.87456261873899,10.096854694471638,69.99659849648954
10.09608292551531,151484.7749547624,6.130456378372283e8,4.562154245854226e8,255991.21656776438,22.48557279062089
2.579314868953617e6,3.1298788706952527e7,344445.5760713605,22.531549293238992,10.143892390174,12533.819823002425
21.103444673380473,202253.846330783,2.851862564323424e7,5159.0400173825155,40.2105312365855,22.74720948475748
10.09582396043801,151482.99621207494,7.477582204696898e8,6.971749363652394e8,320693.9018523186,22.483301637910607
393.77510711294445,1.268678866290951e6,741004.9283699763,61.675477704187394,11.463519771921176,41.927163485890134
49365.44803231995,2.7513896640310576e6,346543.9678249667,22.73505149231382,10.682947806160803,2865.4763202381346
34752.68009163211,1.6161618931105307e8,2.992330311654509e8,28341.954420614096,10.104269155479766,22.49881757077707
19715.938180472745,5.421558374376641e6,358299.4644030668,23.856193891124395,10.384952609637223,556.307791042401
10.09482280474963,151477.33175161178,948813.2565237124,3.401026751642006e7,1.93285997349452e7,35.24474901857962
98.89807920568177,479141.83396753814,1.254421275628253e6,121.08593020360483,14.761557442124452,30.958364514555896
10.100477640556715,151502.64684221937,7.540767665799185e6,1.252559176475397e6,59815.90850940262,23.54658492419978
6.686618964343064e8,9.892597014308686e8,343899.6226223623,22.48011819769673,10.096345419725296,102391.95421231411
6.100360321126299e6,792560.5613060702,343829.43029522465,22.473513414066346,12.480020137917208,1.4413937644988508e6
5.705767329539957e8,7.582205992967738e8,343891.6303167741,22.479390450530154,10.096816666603818,114001.94761011831
9.151212468697411e8,1.538010296353168e7,343824.5465994983,22.473049559228897,10.195210756746945,9.10254319391097e6
5.930052038731843e6,152400.40597867197,343823.608659564,22.473008137541807,1665.0954543299583,9.722058578074462e8
13.082724980364306,151476.46046761784,343823.61044876795,98.39861191971546,9.419074772070563e8,2.7879197524311024e8
16.23440055842868,151476.45687859514,343823.5886220647,59.42327658091515,8.929990573552656e8,5.431170407526482e8
10.094855954038614,151476.45158749007,345493.2065895332,4.0544805308763776e6,8.349199120505167e8,4650.2505403267105
10.91743752847519,151476.46686089164,343824.72955801385,298.2459734414364,8.105490871797222e7,6.605255603891087e6
13.27984451615654,151481.30364350122,343901.36414455256,93.73036145038452,314859.0245002971,99328.97259992291
10.094824385354574,151476.45029348863,347704.8019542556,9.305679847242454e6,8.24350700575159e8,2013.2628595342053
346.5152354004367,151477.20409821652,343823.66684827785,23.14731555660909,2.0142810882341461e6,6.712781309159535e7
22.84252217672526,152614.89018197788,348468.17888680456,41.05744158710818,1353.2612324974295,1686.0570448241594
7225.350159448318,152172.31029557865,343828.45809327136,22.50487759528496,2207.519677434583,1.570598749376533e6
9524.732254044357,151711.12888269508,343824.7965425471,22.49693179184985,6525.612064499194,6.141051310919735e6
10.094805915071507,151476.4453162922,358182.13041576755,3.816425240605446e7,9.138619109933674e8,560.5996799980236
113.72113902471753,169596.00529705425,353091.18591866747,25.625554390190477,94.48552105148447,856.2028821445504
10.094800542652635,151476.42052099772,477321.9902967136,3.880374404723913e8,9.993848126631701e8,80.35178096147352
10.09623973742179,151481.75830663554,1.29315168948837e6,787987.4394608246,285359.12654401804,30.6121279204808
10.094800778813072,151476.3761936202,560154.9602070401,3.8674774492941123e8,6.146717472447351e8,58.190050771420694
10.17545294912589,151738.82727036095,896447.8509801931,9439.366480787821,5836.38468654151,36.454855004298025
28.403516962756637,185415.0712974669,501035.9526470387,57.96603733027282,55.1502438260398,71.62127363066578
8.098892686832767e8,311969.102585256,343823.3592953063,22.472970729862293,19.622478372726764,7.643900694389743e8
17.869555562090607,151476.33787585818,343823.33186350786,51.65203921534221,9.464720819033824e8,7.289485338669717e8
9.782964030344663e8,364644.72783655894,343823.23972751276,22.472970951852332,17.268107746620544,6.951719285517489e8
4.9011678949804205e8,2.6497612125406317e7,343825.15861234535,22.47323105064191,10.152839507624806,2.8178941377118225e6